,TEAM,FROM,TO,URL
3174,Milwaukee Hawks,1953,1953,/players/d/darcepe01.html
3175,Denver Nuggets,1950,1950,/players/d/dardeji01.html
3176,Indiana Pacers,1968,1970,/players/d/dardeol01.html
3177,New York Nets,1969,1969,/players/d/dardeol01.html
3178,Kentucky Colonels,1969,1970,/players/d/dardeol01.html
3179,New Jersey Nets,1995,1995,/players/d/dareyi01.html
3180,New Jersey Nets,1996,1997,/players/d/dareyi01.html
3181,New Jersey Nets,1998,1998,/players/d/dareyi01.html
3182,New York Knicks,1975,1975,/players/d/darkje01.html
3183,Charlotte Hornets,2021,2021,/players/d/darlina01.html
3184,Virginia Squires,1976,1976,/players/d/darneri01.html
3185,Detroit Pistons,2014,2015,/players/d/datomlu01.html
3186,Boston Celtics,2015,2015,/players/d/datomlu01.html
3187,Cleveland Cavaliers,1987,1994,/players/d/daughbr01.html
3188,Carolina Cougars,1971,1971,/players/d/daughma01.html
3189,Chicago Bulls,1999,2000,/players/d/davidko01.html
3190,Cleveland Cavaliers,2000,2000,/players/d/davidko01.html
3191,Toronto Raptors,2001,2001,/players/d/davidko01.html
3192,Detroit Pistons,2001,2001,/players/d/davidko01.html
3193,Charlotte Bobcats,2008,2008,/players/d/davidje01.html
3194,Golden State Warriors,2009,2009,/players/d/davidje01.html
3195,Rochester Royals,1949,1955,/players/d/daviebo01.html
3196,Philadelphia 76ers,2014,2014,/players/d/daviebr01.html
3197,Philadelphia 76ers,2015,2015,/players/d/daviebr01.html
3198,Brooklyn Nets,2015,2015,/players/d/daviebr01.html
3199,New Orleans Hornets,2013,2013,/players/d/davisan02.html
3200,New Orleans Pelicans,2014,2019,/players/d/davisan02.html
3201,Los Angeles Lakers,2020,2022,/players/d/davisan02.html
3202,Indiana Pacers,1994,1999,/players/d/davisan01.html
3203,Toronto Raptors,2000,2006,/players/d/davisan01.html
3204,Chicago Bulls,2004,2005,/players/d/davisan01.html
3205,New York Knicks,2006,2006,/players/d/davisan01.html
3206,St. Louis Bombers,1947,1947,/players/d/davisau01.html
3207,St. Louis Bombers,1947,1947,/players/d/davisau01.html
3208,Charlotte Hornets,2000,2002,/players/d/davisba01.html
3209,New Orleans Hornets,2003,2005,/players/d/davisba01.html
3210,Golden State Warriors,2005,2008,/players/d/davisba01.html
3211,Los Angeles Clippers,2009,2010,/players/d/davisba01.html
3212,Los Angeles Clippers,2011,2011,/players/d/davisba01.html
3213,Cleveland Cavaliers,2011,2011,/players/d/davisba01.html
3214,New York Knicks,2012,2012,/players/d/davisba01.html
3215,Phoenix Suns,1997,2000,/players/d/davisbe01.html
3216,New York Knicks,1998,1999,/players/d/davisbe01.html
3217,Chicago Stags,1947,1947,/players/d/davisbi01.html
3218,Portland Trail Blazers,1973,1973,/players/d/davisbo01.html
3219,Los Angeles Lakers,1978,1979,/players/d/davisbr01.html
3220,Indiana Pacers,1979,1979,/players/d/davisbr01.html
3221,Indiana Pacers,1980,1980,/players/d/davisbr01.html
3222,Utah Jazz,1980,1980,/players/d/davisbr01.html
3223,Dallas Mavericks,1981,1992,/players/d/davisbr01.html
3224,Minnesota Timberwolves,1994,1994,/players/d/davisbr02.html
3225,Washington Bullets,1982,1985,/players/d/davisch02.html
3226,Milwaukee Bucks,1985,1985,/players/d/davisch02.html
3227,Milwaukee Bucks,1986,1986,/players/d/davisch02.html
3228,Milwaukee Bucks,1988,1988,/players/d/davisch02.html
3229,San Antonio Spurs,1988,1988,/players/d/davisch02.html
3230,Chicago Bulls,1989,1990,/players/d/davisch02.html
3231,Cleveland Cavaliers,1972,1973,/players/d/davisch01.html
3232,Portland Trail Blazers,1973,1974,/players/d/davisch01.html
3233,Indiana Pacers,1992,2005,/players/d/davisda01.html
3234,Portland Trail Blazers,2001,2004,/players/d/davisda01.html
3235,Golden State Warriors,2005,2005,/players/d/davisda01.html
3236,Detroit Pistons,2006,2007,/players/d/davisda01.html
3237,Memphis Grizzlies,2017,2017,/players/d/davisde01.html
3238,Memphis Grizzlies,2018,2018,/players/d/davisde01.html
3239,Atlanta Hawks,2019,2019,/players/d/davisde01.html
3240,Cleveland Cavaliers,1973,1975,/players/d/davisdw01.html
3241,Golden State Warriors,1976,1977,/players/d/davisdw01.html
3242,Toronto Raptors,2011,2013,/players/d/davised01.html
3243,Memphis Grizzlies,2013,2014,/players/d/davised01.html
3244,Los Angeles Lakers,2015,2015,/players/d/davised01.html
3245,Portland Trail Blazers,2016,2018,/players/d/davised01.html
3246,Brooklyn Nets,2019,2019,/players/d/davised01.html
3247,Utah Jazz,2020,2020,/players/d/davised01.html
3248,Minnesota Timberwolves,2021,2021,/players/d/davised01.html
3249,Cleveland Cavaliers,2022,2022,/players/d/davised01.html
3250,Houston Rockets,1997,1998,/players/d/davisem01.html
3251,Seattle SuperSonics,2000,2001,/players/d/davisem01.html
3252,Atlanta Hawks,2002,2003,/players/d/davisem01.html
3253,Boston Celtics,2008,2011,/players/d/davisgl01.html
3254,Orlando Magic,2012,2014,/players/d/davisgl01.html
3255,Los Angeles Clippers,2014,2015,/players/d/davisgl01.html
3256,Cleveland Cavaliers,1979,1979,/players/d/davisha01.html
3257,San Antonio Spurs,1980,1980,/players/d/davisha01.html
3258,New York Knicks,1993,1996,/players/d/davishu01.html
3259,Toronto Raptors,1997,1997,/players/d/davishu01.html
3260,Dallas Mavericks,1998,2001,/players/d/davishu01.html
3261,Washington Wizards,2001,2002,/players/d/davishu01.html
3262,Detroit Pistons,2003,2004,/players/d/davishu01.html
3263,New Jersey Nets,2004,2004,/players/d/davishu01.html
3264,St. Louis Hawks,1968,1968,/players/d/davisji01.html
3265,St. Louis Hawks,1968,1968,/players/d/davisji01.html
3266,Atlanta Hawks,1969,1970,/players/d/davisji01.html
3267,Atlanta Hawks,1971,1972,/players/d/davisji01.html
3268,Houston Rockets,1972,1972,/players/d/davisji01.html
3269,Detroit Pistons,1972,1975,/players/d/davisji01.html
3270,Portland Trail Blazers,1977,1978,/players/d/davisjo01.html
3271,Indiana Pacers,1979,1982,/players/d/davisjo01.html
3272,Atlanta Hawks,1983,1986,/players/d/davisjo01.html
3273,Cleveland Cavaliers,1985,1986,/players/d/davisjo01.html
3274,Atlanta Hawks,2004,2004,/players/d/davisjo02.html
3275,Philadelphia 76ers,2005,2005,/players/d/davisjo02.html
3276,Milwaukee Bucks,2006,2006,/players/d/davisjo02.html
3277,Houston Rockets,2006,2006,/players/d/davisjo02.html
3278,Phoenix Suns,2006,2006,/players/d/davisjo02.html
3279,Memphis Grizzlies,2012,2012,/players/d/davisjo02.html
3280,New Orleans Buccaneers,1969,1970,/players/d/davisle01.html
3281,Memphis Pros,1971,1972,/players/d/davisle01.html
3282,Memphis Tams,1973,1974,/players/d/davisle01.html
3283,San Diego Conquistadors,1975,1975,/players/d/davisle01.html
3284,San Diego Sails,1976,1976,/players/d/davisle01.html
3285,Phoenix Suns,1989,1989,/players/d/davisma01.html
3286,Milwaukee Bucks,1989,1989,/players/d/davisma01.html
3287,Minnesota Timberwolves,1996,1996,/players/d/davisma02.html
3288,Philadelphia 76ers,1997,1997,/players/d/davisma02.html
3289,Philadelphia 76ers,1998,1998,/players/d/davisma02.html
3290,Miami Heat,1999,1999,/players/d/davisma02.html
3291,Golden State Warriors,2000,2000,/players/d/davisma02.html
3292,Golden State Warriors,2000,2000,/players/d/davisma02.html
3293,New York Knicks,1974,1977,/players/d/davisme01.html
3294,New York Nets,1977,1977,/players/d/davisme01.html
3295,Pittsburgh Condors,1972,1972,/players/d/davismi02.html
3296,Milwaukee Bucks,1973,1977,/players/d/davismi02.html
3297,Baltimore Bullets,1970,1970,/players/d/davismi01.html
3298,Buffalo Braves,1971,1971,/players/d/davismi01.html
3299,Buffalo Braves,1972,1972,/players/d/davismi01.html
3300,Baltimore Bullets,1973,1973,/players/d/davismi01.html
3301,Memphis Tams,1973,1973,/players/d/davismi01.html
3302,New York Knicks,1983,1983,/players/d/davismi03.html
3303,Philadelphia 76ers,1981,1981,/players/d/davismo01.html
3304,Dallas Mavericks,1981,1981,/players/d/davismo01.html
3305,Los Angeles Clippers,2007,2009,/players/d/davispa01.html
3306,Washington Wizards,2010,2010,/players/d/davispa01.html
3307,Cincinnati Royals,1961,1961,/players/d/davisra01.html
3308,Chicago Packers,1962,1962,/players/d/davisra01.html
3309,Rochester Royals,1956,1956,/players/d/davisre01.html
3310,Charlotte Hornets,1999,2000,/players/d/davisri01.html
3311,Miami Heat,2001,2001,/players/d/davisri01.html
3312,Cleveland Cavaliers,2002,2003,/players/d/davisri01.html
3313,Cleveland Cavaliers,2004,2004,/players/d/davisri01.html
3314,Boston Celtics,2004,2006,/players/d/davisri01.html
3315,Minnesota Timberwolves,2006,2007,/players/d/davisri01.html
3316,Miami Heat,2008,2008,/players/d/davisri01.html
3317,Los Angeles Clippers,2009,2010,/players/d/davisri01.html
3318,Atlanta Hawks,1977,1977,/players/d/davisro01.html
3319,San Diego Clippers,1981,1982,/players/d/davisro01.html
3320,Toronto Raptors,2020,2020,/players/d/daviste02.html
3321,Toronto Raptors,2021,2021,/players/d/daviste02.html
3322,Sacramento Kings,2021,2021,/players/d/daviste02.html
3323,Sacramento Kings,2022,2022,/players/d/daviste02.html
3324,Miami Heat,1990,1991,/players/d/daviste01.html
3325,Dallas Mavericks,1992,1996,/players/d/daviste01.html
3326,Washington Wizards,1998,1999,/players/d/daviste01.html
3327,Denver Nuggets,2001,2001,/players/d/daviste01.html
3328,Oklahoma City Thunder,2019,2019,/players/d/davisty01.html
3329,Philadelphia Warriors,1954,1958,/players/d/daviswa01.html
3330,St. Louis Hawks,1958,1958,/players/d/daviswa01.html
3331,Phoenix Suns,1978,1988,/players/d/daviswa03.html
3332,Denver Nuggets,1989,1992,/players/d/daviswa03.html
3333,Portland Trail Blazers,1991,1991,/players/d/daviswa03.html
3334,Anaheim Amigos,1968,1968,/players/d/daviswa02.html
3335,Anaheim Amigos,1968,1968,/players/d/daviswa02.html
3336,Los Angeles Stars,1969,1970,/players/d/daviswa02.html
3337,Pittsburgh Pipers,1970,1970,/players/d/daviswa02.html
3338,The Floridians,1971,1971,/players/d/daviswa02.html
3339,The Floridians,1971,1971,/players/d/daviswa02.html
3340,Carolina Cougars,1972,1972,/players/d/daviswa02.html
3341,Memphis Pros,1972,1972,/players/d/daviswa02.html
3342,Memphis Tams,1973,1973,/players/d/daviswa02.html
3343,Texas Chaparrals,1971,1971,/players/d/daviswi01.html
3344,Miami Heat,2015,2015,/players/d/dawkian01.html
3345,Philadelphia 76ers,1976,1977,/players/d/dawkida01.html
3346,Philadelphia 76ers,1978,1982,/players/d/dawkida01.html
3347,New Jersey Nets,1983,1987,/players/d/dawkida01.html
3348,Utah Jazz,1988,1988,/players/d/dawkida01.html
3349,Detroit Pistons,1988,1989,/players/d/dawkida01.html
3350,San Antonio Spurs,1987,1989,/players/d/dawkijo01.html
3351,Philadelphia 76ers,1990,1994,/players/d/dawkijo01.html
3352,Detroit Pistons,1995,1995,/players/d/dawkijo01.html
3353,Utah Jazz,1980,1980,/players/d/dawkipa01.html
3354,Los Angeles Clippers,2016,2016,/players/d/dawsobr01.html
3355,San Antonio Spurs,2012,2012,/players/d/dawsoer01.html
3356,Indiana Pacers,1968,1968,/players/d/dawsoji01.html
3357,Sacramento Kings,1991,1991,/players/d/dawsoto01.html
3358,Boston Celtics,1995,1995,/players/d/dawsoto01.html
3359,Milwaukee Bucks,1993,1993,/players/d/dayto01.html
3360,Milwaukee Bucks,1994,1996,/players/d/dayto01.html
3361,Boston Celtics,1996,1997,/players/d/dayto01.html
3362,Miami Heat,1998,1998,/players/d/dayto01.html
3363,Phoenix Suns,2000,2000,/players/d/dayto01.html
3364,Minnesota Timberwolves,2001,2001,/players/d/dayto01.html
3365,Detroit Pistons,2010,2013,/players/d/dayeau01.html
3366,Memphis Grizzlies,2013,2013,/players/d/dayeau01.html
3367,Toronto Raptors,2014,2014,/players/d/dayeau01.html
3368,San Antonio Spurs,2014,2015,/players/d/dayeau01.html
3369,Atlanta Hawks,2015,2015,/players/d/dayeau01.html
3370,Washington Bullets,1984,1986,/players/d/dayeda01.html
3371,Chicago Bulls,1987,1987,/players/d/dayeda01.html
3372,Boston Celtics,1987,1988,/players/d/dayeda01.html
3373,San Antonio Spurs,2013,2014,/players/d/decolna01.html
3374,Toronto Raptors,2014,2014,/players/d/decolna01.html
3375,New York Nets,1971,1971,/players/d/deangbi01.html
3376,Detroit Pistons,1963,1969,/players/d/debusda01.html
3377,New York Knicks,1969,1974,/players/d/debusda01.html
3378,Golden State Warriors,1996,1997,/players/d/declean01.html
3379,Boston Celtics,1998,1999,/players/d/declean01.html
3380,Cleveland Cavaliers,1999,2000,/players/d/declean01.html
3381,Orlando Magic,2001,2005,/players/d/declean01.html
3382,Milwaukee Bucks,2022,2022,/players/d/delauja01.html
3383,Milwaukee Hawks,1952,1952,/players/d/delonna01.html
3384,New York Nets,1971,1972,/players/d/deprejo01.html
3385,New York Nets,1973,1973,/players/d/deprejo01.html
3386,Toronto Raptors,2010,2018,/players/d/derozde01.html
3387,San Antonio Spurs,2019,2021,/players/d/derozde01.html
3388,Chicago Bulls,2022,2022,/players/d/derozde01.html
3389,Tri-Cities Blackhawks,1951,"Cities Blackhawks, 1951",/players/d/dezonha01.html
3390,Utah Jazz,1980,1980,/players/d/deanegr01.html
3391,Oklahoma City Thunder,2021,2022,/players/d/deckga01.html
3392,Golden State Warriors,2014,2014,/players/d/dedmode01.html
3393,Philadelphia 76ers,2014,2014,/players/d/dedmode01.html
3394,Orlando Magic,2014,2016,/players/d/dedmode01.html
3395,San Antonio Spurs,2017,2017,/players/d/dedmode01.html
3396,Atlanta Hawks,2018,2020,/players/d/dedmode01.html
3397,Sacramento Kings,2020,2020,/players/d/dedmode01.html
3398,Miami Heat,2021,2022,/players/d/dedmode01.html
3399,Indiana Pacers,1969,1969,/players/d/deedo01.html
3400,Cincinnati Royals,1959,1959,/players/d/deesar01.html
3401,Detroit Pistons,1960,1961,/players/d/deesar01.html
3402,Chicago Packers,1962,1962,/players/d/deesar01.html
3403,St. Louis Hawks,1962,1962,/players/d/deesar01.html
3404,Los Angeles Clippers,1994,1997,/players/d/deherte01.html
3405,Sacramento Kings,1998,1999,/players/d/deherte01.html
3406,Vancouver Grizzlies,1999,1999,/players/d/deherte01.html
3407,Providence Steamrollers,1947,1947,/players/d/dehnere01.html
3408,New Orleans Pelicans,2016,2016,/players/d/dejeabr01.html
3409,Houston Rockets,2016,2017,/players/d/dekkesa01.html
3410,Los Angeles Clippers,2018,2018,/players/d/dekkesa01.html
3411,Cleveland Cavaliers,2019,2019,/players/d/dekkesa01.html
3412,Washington Wizards,2019,2019,/players/d/dekkesa01.html
3413,Toronto Raptors,2022,2022,/players/d/dekkesa01.html
3414,Sacramento Kings,1989,1990,/players/d/delnevi01.html
3415,San Antonio Spurs,1993,1998,/players/d/delnevi01.html
3416,Milwaukee Bucks,1999,2000,/players/d/delnevi01.html
3417,Golden State Warriors,2001,2001,/players/d/delnevi01.html
3418,Phoenix Suns,2001,2001,/players/d/delnevi01.html
3419,Phoenix Suns,2002,2002,/players/d/delnevi01.html
3420,Atlanta Hawks,2017,2018,/players/d/delanma01.html
3421,Orlando Magic,1992,1993,/players/d/delebi01.html
3422,Denver Nuggets,1994,1995,/players/d/delebi01.html
3423,Los Angeles Clippers,1996,1996,/players/d/delebi01.html
3424,Chicago Bulls,1997,1997,/players/d/delebi01.html
3425,Detroit Pistons,1998,1999,/players/d/delebi01.html
3426,Detroit Pistons,2005,2007,/players/d/delfica01.html
3427,Toronto Raptors,2008,2008,/players/d/delfica01.html
3428,Milwaukee Bucks,2010,2012,/players/d/delfica01.html
3429,Houston Rockets,2013,2013,/players/d/delfica01.html
3430,Los Angeles Clippers,2019,2019,/players/d/delgaan01.html
3431,Charlotte Hornets,1997,1998,/players/d/delkto01.html
3432,Golden State Warriors,1998,1999,/players/d/delkto01.html
3433,Sacramento Kings,2000,2000,/players/d/delkto01.html
3434,Phoenix Suns,2001,2002,/players/d/delkto01.html
3435,Boston Celtics,2002,2002,/players/d/delkto01.html
3436,Boston Celtics,2003,2003,/players/d/delkto01.html
3437,Dallas Mavericks,2004,2004,/players/d/delkto01.html
3438,Atlanta Hawks,2005,2006,/players/d/delkto01.html
3439,Detroit Pistons,2006,2006,/players/d/delkto01.html
3440,Cleveland Cavaliers,2014,2014,/players/d/dellama01.html
3441,Cleveland Cavaliers,2014,2016,/players/d/dellama01.html
3442,Milwaukee Bucks,2017,2019,/players/d/dellama01.html
3443,Cleveland Cavaliers,2019,2021,/players/d/dellama01.html
3444,Detroit Pistons,1989,1989,/players/d/dembofe01.html
3445,New York Knicks,1980,1982,/players/d/demicla01.html
3446,Golden State Warriors,1994,1994,/players/d/dempsde01.html
3447,San Antonio Spurs,1996,1996,/players/d/dempsde01.html
3448,Orlando Magic,1997,1997,/players/d/dempsde01.html
3449,Philadelphia Warriors,1955,1955,/players/d/dempsge01.html
3450,Philadelphia Warriors,1955,1959,/players/d/dempsge01.html
3451,Syracuse Nationals,1959,1959,/players/d/dempsge01.html
3452,Chicago Bulls,2005,2014,/players/d/denglu01.html
3453,Cleveland Cavaliers,2014,2014,/players/d/denglu01.html
3454,Miami Heat,2015,2016,/players/d/denglu01.html
3455,Los Angeles Lakers,2017,2018,/players/d/denglu01.html
3456,Minnesota Timberwolves,2019,2019,/players/d/denglu01.html
3457,Kansas City Kings,1982,1983,/players/d/dennake01.html
3458,Denver Nuggets,1984,1984,/players/d/dennake01.html
3459,San Antonio Spurs,2012,2012,/players/d/dentmju01.html
3460,Toronto Raptors,2012,2012,/players/d/dentmju01.html
3461,Dallas Mavericks,2013,2013,/players/d/dentmju01.html
3462,Carolina Cougars,1972,1972,/players/d/dentora01.html
3463,Memphis Pros,1972,1972,/players/d/dentora01.html
3464,Memphis Tams,1973,1974,/players/d/dentora01.html
3465,Utah Stars,1975,1976,/players/d/dentora01.html
3466,Spirits of St. Louis,1976,1976,/players/d/dentora01.html
3467,Atlanta Hawks,1977,1977,/players/d/dentora01.html
3468,Seattle SuperSonics,1975,1976,/players/d/derliro01.html
3469,Golden State Warriors,2019,2019,/players/d/derrima01.html
3470,New York Knicks,1967,1967,/players/d/deutsda01.html
3471,Fort Wayne Pistons,1956,1956,/players/d/devlico01.html
3472,Fort Wayne Pistons,1956,1957,/players/d/devlico01.html
3473,Minneapolis Lakers,1958,1958,/players/d/devlico01.html
3474,Buffalo Braves,1974,1977,/players/d/digreer01.html
3475,Los Angeles Lakers,1978,1978,/players/d/digreer01.html
3476,Boston Celtics,1978,1978,/players/d/digreer01.html
3477,Milwaukee Bucks,2019,2019,/players/d/divindo01.html
3478,Milwaukee Bucks,2020,2022,/players/d/divindo01.html
3479,Sacramento Kings,2022,2022,/players/d/divindo01.html
3480,Milwaukee Bucks,2021,2021,/players/d/diakima01.html
3481,Oklahoma City Thunder,2022,2022,/players/d/diakima01.html
3482,San Antonio Spurs,2000,2001,/players/d/dialde01.html
3483,New Jersey Nets,2002,2002,/players/d/dialde01.html
3484,Toronto Raptors,2002,2002,/players/d/dialde01.html
3485,Orlando Magic,2004,2004,/players/d/dialde01.html
3486,New Orleans Pelicans,2017,2019,/players/d/diallch01.html
